Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,76.400002,85.699997,76.000000,82.500000,80.949646,39706271
2017-11-03,84.099998,88.099998,84.099998,86.750000,85.119781,17892172
2017-11-06,88.000000,104.099998,87.300003,103.650002,101.702194,47231155
2017-11-07,109.000000,110.500000,98.349998,99.400002,97.532059,32205515
2017-11-08,99.400002,104.000000,93.800003,95.099998,93.312859,16771944
2017-11-09,96.099998,101.900002,93.349998,100.400002,98.513268,13384229
2017-11-10,99.949997,103.449997,97.550003,99.500000,97.630180,10468970
2017-11-13,101.900002,104.349998,98.500000,98.900002,97.041451,9906598
2017-11-14,99.500000,100.250000,96.099998,97.050003,95.226219,4568521
2017-11-15,96.150002,96.199997,88.000000,88.849998,87.180313,9050334
2017-11-16,89.550003,97.699997,89.000000,97.199997,95.373398,10686437
2017-11-17,99.699997,101.300003,95.500000,96.949997,95.128090,8325837
2017-11-20,96.400002,99.500000,95.000000,97.750000,95.913063,4690341
2017-11-21,98.699997,101.400002,97.349998,98.400002,96.550850,5556199
2017-11-22,99.000000,101.400002,97.099998,98.650002,96.796150,4469753
2017-11-23,99.000000,100.650002,96.449997,97.650002,95.814949,4211197
2017-11-24,97.900002,99.400002,96.800003,97.050003,95.226219,2975531
2017-11-27,97.400002,100.949997,95.800003,99.449997,97.581116,6845731
2017-11-28,99.699997,103.250000,98.599998,99.550003,97.679237,9949647
2017-11-29,99.500000,100.750000,96.900002,97.650002,95.814949,4239512
2017-11-30,97.500000,97.750000,94.550003,94.900002,93.116631,3527704
2017-12-01,95.500000,97.750000,92.400002,92.800003,91.056084,3010307
2017-12-04,93.550003,94.250000,90.150002,91.000000,89.289917,2728738
2017-12-05,91.000000,93.699997,88.699997,92.449997,90.712662,3554864
2017-12-06,91.800003,91.800003,87.849998,88.199997,86.542526,3105998
2017-12-07,88.800003,91.199997,88.699997,90.150002,88.455887,2757822
2017-12-08,90.800003,93.550003,90.500000,91.300003,89.584282,4183291
2017-12-11,91.550003,92.699997,90.550003,90.949997,89.240845,2123544
2017-12-12,91.150002,91.650002,89.000000,89.250000,87.572800,2437496
2017-12-13,90.449997,96.699997,89.550003,92.800003,91.056084,12381255
2017-12-14,93.699997,94.250000,90.050003,91.099998,89.388031,3598398
2017-12-15,92.400002,93.349998,90.949997,91.349998,89.633331,2442935
2017-12-18,90.800003,93.300003,86.650002,91.599998,89.878632,3291532
2017-12-19,91.900002,93.599998,91.099998,91.500000,89.780510,5122314
2017-12-20,91.699997,93.500000,91.099998,91.500000,89.780510,4563189
2017-12-21,92.000000,93.099998,91.550003,92.000000,90.271118,3210436
2017-12-22,92.650002,96.400002,92.099998,93.699997,91.939171,9795557
2017-12-26,94.199997,94.650002,92.300003,92.900002,91.154205,3196646
2017-12-27,94.050003,100.199997,94.000000,96.150002,94.343132,17461000
2017-12-28,97.400002,105.000000,97.400002,102.550003,100.622864,21861763
2017-12-29,104.000000,105.599998,100.099998,101.000000,99.101990,8963867
2018-01-01,101.500000,103.250000,99.349998,99.849998,97.973602,4391787
2018-01-02,100.500000,100.750000,96.500000,97.800003,95.962128,4589076
2018-01-03,98.300003,101.500000,97.400002,100.099998,98.218903,5905956
2018-01-04,100.699997,102.699997,99.150002,99.900002,98.022667,6113289
2018-01-05,100.300003,101.949997,99.199997,99.500000,97.630180,4228939
2018-01-08,100.000000,100.400002,97.150002,97.449997,95.618698,4986645
2018-01-09,98.000000,98.500000,94.550003,95.250000,93.460045,4575534
2018-01-10,95.300003,97.199997,93.650002,94.099998,92.331650,3794001
2018-01-11,94.500000,95.699997,93.800003,94.750000,92.969437,2968630
2018-01-12,95.300003,95.800003,91.550003,93.300003,91.546692,3084786
2018-01-15,93.849998,94.750000,93.099998,93.500000,91.742935,2112054
2018-01-16,93.949997,94.000000,90.050003,90.550003,88.848373,2617015
2018-01-17,90.599998,92.199997,86.650002,91.550003,89.829582,3428566
2018-01-18,92.250000,92.650002,86.250000,87.199997,85.561317,3288069
2018-01-19,87.400002,88.099998,85.000000,86.900002,85.266960,2409283
2018-01-22,87.400002,91.900002,86.250000,90.349998,88.652130,4096212
2018-01-23,91.250000,93.000000,89.250000,90.349998,88.652130,3762804
2018-01-24,90.300003,90.400002,87.099998,87.400002,85.757568,1957549
2018-01-25,88.099998,90.449997,87.050003,87.250000,85.610382,3017334
2018-01-29,88.400002,88.900002,85.550003,85.849998,84.236687,1873152
2018-01-30,85.949997,87.900002,84.500000,84.949997,83.353600,2317452
2018-01-31,85.000000,86.750000,83.000000,85.000000,83.402672,3085286
2018-02-01,84.000000,84.000000,78.500000,80.150002,78.643806,4365717
2018-02-02,79.000000,80.000000,74.000000,76.550003,75.111465,4322816
2018-02-05,74.500000,76.750000,72.000000,75.650002,74.228378,3787876
2018-02-06,70.000000,74.650002,69.550003,73.550003,72.167839,3549403
2018-02-07,75.500000,76.300003,73.150002,74.000000,72.609375,2101932
2018-02-08,74.500000,80.250000,73.449997,79.650002,78.153206,3999646
2018-02-09,77.000000,81.300003,76.300003,79.199997,77.711655,3510327
2018-02-12,80.099998,81.599998,79.349998,79.800003,78.300392,2185373
2018-02-14,80.300003,81.500000,79.000000,79.349998,77.858841,1649523
2018-02-15,80.000000,80.599998,77.199997,78.250000,76.779518,1495295
2018-02-16,79.250000,79.699997,75.849998,76.400002,74.964287,1423420
2018-02-19,76.500000,76.500000,74.000000,74.500000,73.099983,1122504
2018-02-20,74.500000,75.800003,73.800003,74.599998,73.198105,1193084
2018-02-21,75.199997,75.400002,73.000000,73.300003,71.922539,1264816
2018-02-22,73.000000,73.949997,72.300003,73.099998,71.726288,1336594
2018-02-23,73.099998,75.000000,73.099998,74.449997,73.050926,1525787
2018-02-26,74.699997,75.750000,73.900002,74.300003,72.903740,1573575
2018-02-27,74.849998,75.500000,73.650002,73.900002,72.511261,1447206
2018-02-28,73.050003,73.900002,72.500000,73.000000,71.628166,1092095
2018-03-01,72.900002,73.849998,72.099998,72.550003,71.186630,1148629
2018-03-05,72.000000,72.250000,70.000000,71.000000,69.665756,1363819
2018-03-06,71.650002,72.400002,68.599998,69.599998,68.292061,1094452
2018-03-07,68.800003,69.400002,65.000000,65.300003,64.072868,2087286
2018-03-08,66.400002,66.400002,62.599998,64.550003,63.336967,1334047
2018-03-09,64.800003,65.150002,62.900002,63.650002,62.453880,1195667
2018-03-12,64.349998,67.300003,63.500000,64.750000,63.533207,1942505
2018-03-13,64.699997,67.250000,64.599998,65.849998,64.612541,2108466
2018-03-14,65.300003,66.300003,64.800003,65.750000,64.514420,1070465
2018-03-15,66.500000,75.599998,66.500000,74.150002,72.756561,15549918
2018-03-16,74.000000,75.650002,71.400002,71.699997,70.352592,6040991
2018-03-19,72.250000,72.400002,66.500000,67.300003,66.035294,2738187
2018-03-20,65.849998,69.500000,65.650002,67.099998,65.839043,2098547
2018-03-21,67.349998,69.300003,66.199997,67.000000,65.740921,1425148
2018-03-22,67.349998,68.050003,65.800003,66.099998,64.857834,1508091
2018-03-23,64.199997,65.099998,62.799999,63.200001,62.012333,1852383
2018-03-26,63.200001,65.199997,62.450001,63.549999,62.355759,2829102
2018-03-27,64.050003,65.349998,64.050003,64.400002,63.189785,1669234
2018-03-28,64.000000,64.199997,62.700001,62.900002,61.717976,1375505
2018-04-02,63.900002,65.150002,63.400002,64.900002,63.680393,1459845
2018-04-03,64.500000,68.300003,64.500000,67.500000,66.231529,3173187
2018-04-04,67.849998,68.400002,65.500000,66.050003,64.808777,2373809
2018-04-05,66.900002,68.599998,66.900002,68.199997,66.918373,1685379
2018-04-06,68.099998,74.800003,67.400002,72.099998,70.745087,7519072
2018-04-09,72.000000,72.500000,70.650002,71.400002,70.058243,2355726
2018-04-10,72.250000,74.250000,71.650002,72.800003,71.431931,3430130
2018-04-11,73.400002,74.900002,71.699997,74.300003,72.903740,3321999
2018-04-12,74.300003,75.099998,72.699997,73.449997,72.069710,3165849
2018-04-13,73.300003,74.050003,71.849998,72.400002,71.039452,1600750
2018-04-16,71.300003,72.900002,71.250000,72.050003,70.696030,1244104
2018-04-17,72.750000,74.099998,72.099998,72.349998,70.990379,1570128
2018-04-18,72.699997,72.900002,71.199997,71.400002,70.058243,955600
2018-04-19,72.900002,82.050003,72.599998,79.800003,78.300392,27396298
2018-04-20,78.500000,78.800003,76.000000,77.050003,75.602066,5374298
2018-04-23,77.300003,78.500000,76.199997,76.650002,75.209579,3094016
2018-04-24,75.699997,75.750000,74.099998,74.650002,73.247162,2423737
2018-04-25,74.000000,77.250000,74.000000,75.300003,73.884949,3401736
2018-04-26,75.349998,76.349998,74.250000,74.449997,73.050926,1954278
2018-04-27,74.800003,75.599998,74.000000,74.150002,72.756561,1394736
2018-04-30,74.500000,74.699997,73.000000,73.349998,71.971588,1302745
2018-05-02,73.699997,73.900002,70.050003,70.650002,69.322334,1284273
2018-05-03,70.550003,71.949997,70.099998,70.400002,69.077034,1068621
2018-05-04,70.500000,71.250000,69.000000,69.650002,68.341125,1036548
2018-05-07,70.000000,70.900002,69.650002,70.099998,68.782669,1080649
2018-05-08,70.599998,74.349998,69.800003,72.250000,70.892265,2968461
2018-05-09,72.400002,73.599998,71.500000,71.699997,70.352592,1184816
